pos_index,row_label,cooks_d,leverage,studentized_resid
3135,6398,16.50162491292323,0.9999999999999993,1.7131671034412514e-06
1799,3456,0.08707586016703166,0.07988384838646419,16.364259398397685
2837,5647,0.04845951779755752,0.1676007321052206,-8.016283428112176
1798,3455,0.033246390687986654,0.08009750946983643,-10.09692833623244
1955,3832,0.02803696866360783,0.043595607951655395,12.81505783519739
1952,3829,0.02382045616259088,0.04359254965850884,-11.81261385593258
1267,2487,0.0214962481155873,0.05579544502468454,9.855317870530888
1804,3461,0.013222338645007416,0.07893393282161744,6.418348421958596
2838,5648,0.012684943757595732,0.16812683112430593,4.0936428353940295
466,921,0.011939173159293185,0.05890657692295261,-7.136367917125115
2036,3972,0.01098530810729473,0.045450900974872394,-7.848553797359443
1807,3464,0.010742455633296207,0.07898743902508884,-5.7831062986947
3050,6197,0.009584222831069631,0.07712885060516426,5.533452507767717
2379,4675,0.008186530052131156,0.5000143763870649,-1.4784038121240717
2380,4676,0.008186530052130745,0.5000143763870649,1.4784038121240346
1265,2485,0.008002615015915735,0.055626228948181825,6.022873501915779
3337,6846,0.007540855650462993,0.25013240675662296,-2.4568195317864805
3052,6199,0.007332119868709638,0.07813895967934867,-4.805840212910931
1808,3465,0.0071878428869288245,0.08113305162907988,4.662107979207182
1801,3458,0.007174352637922369,0.07710052969013019,-4.788456075216319
173,401,0.0066065453594657915,0.056266413290416206,5.439298978528065
2969,5929,0.006134279877535456,0.11215667323977371,-3.600750519799306
2970,5930,0.006125696762217308,0.11174884598082122,-3.6056182608706826
3178,6490,0.006016649667178999,0.055843936696080336,-5.211549571940371
3053,6200,0.0057562231489612856,0.07793977979660391,-4.264071686098936
2037,3973,0.005616214422881479,0.048729640207658305,5.410443311155335
31,73,0.005497321530119531,0.05661356990486903,-4.945563039155073
1800,3457,0.005371909832074003,0.07841231911534352,-4.105784670827324
1954,3831,0.005266259963930228,0.04456618596033438,-5.490404568738253
1947,3824,0.005245207350650023,0.04390441748967187,-5.522471806121593
321,631,0.005135049675632645,0.07762553435378658,-4.03626144791401
665,1273,0.004987152197693639,0.058919133400675755,-4.6117657369645215
3049,6196,0.004953656898204917,0.07722211931523323,3.9755417796444674
1829,3491,0.004538295231652851,0.04583501408894836,-5.022443459043274
1464,2953,0.00423128005018174,0.12506578288109732,-2.811317936960408
2456,4842,0.003863603487315255,0.05171320778620495,-4.349316547860705
1268,2488,0.0038289086883844894,0.055627943401730516,4.165989753002875
1001,2035,0.003804732069206749,0.06941697636223239,-3.6903060608990343
2133,4235,0.003598751494917339,0.0773118816308933,-3.386381650799139
1777,3410,0.003564932729578981,0.07066003317712924,-3.5381943858424902
