model,term,coef,std_err,pvalue,n_obs
OLS,const,2.9457329928293987,0.23747937714311923,2.480904648277925e-35,3390
OLS,gov_index_zmean,-0.7811827533478354,0.15581658176900612,5.345533021196165e-07,3390
OLS,trade_exposure,0.6790422151109139,0.22216162239797957,0.0022391994245330366,3390
OLS,inflation_consumer_prices_pct,-0.03003264844647955,0.0068672512810809775,1.2237432550015198e-05,3390
FE,const,,,,3390
FE,gov_index_zmean,,,,3390
FE,trade_exposure,,,,3390
FE,inflation_consumer_prices_pct,,,,3390
FE,FE_AFG,,,,3390
FE,FE_AGO,,,,3390
FE,FE_ALB,,,,3390
FE,FE_ARE,,,,3390
FE,FE_ARG,,,,3390
FE,FE_ARM,,,,3390
FE,FE_ATG,,,,3390
FE,FE_AUS,,,,3390
FE,FE_AUT,,,,3390
FE,FE_AZE,,,,3390
FE,FE_BDI,,,,3390
FE,FE_BEL,,,,3390
FE,FE_BEN,,,,3390
FE,FE_BFA,,,,3390
FE,FE_BGD,,,,3390
FE,FE_BGR,,,,3390
FE,FE_BHR,,,,3390
FE,FE_BHS,,,,3390
FE,FE_BIH,,,,3390
FE,FE_BLR,,,,3390
FE,FE_BLZ,,,,3390
FE,FE_BOL,,,,3390
FE,FE_BRA,,,,3390
FE,FE_BRB,,,,3390
FE,FE_BRN,,,,3390
FE,FE_BTN,,,,3390
FE,FE_BWA,,,,3390
FE,FE_CAF,,,,3390
FE,FE_CAN,,,,3390
FE,FE_CHE,,,,3390
FE,FE_CHL,,,,3390
FE,FE_CHN,,,,3390
FE,FE_CIV,,,,3390
FE,FE_CMR,,,,3390
FE,FE_COD,,,,3390
FE,FE_COG,,,,3390
FE,FE_COL,,,,3390
FE,FE_COM,,,,3390
FE,FE_CPV,,,,3390
FE,FE_CRI,,,,3390
FE,FE_CYM,,,,3390
FE,FE_CYP,,,,3390
FE,FE_CZE,,,,3390
FE,FE_DEU,,,,3390
FE,FE_DJI,,,,3390
FE,FE_DMA,,,,3390
FE,FE_DNK,,,,3390
FE,FE_DOM,,,,3390
FE,FE_DZA,,,,3390
FE,FE_ECU,,,,3390
FE,FE_EGY,,,,3390
FE,FE_ESP,,,,3390
FE,FE_EST,,,,3390
FE,FE_ETH,,,,3390
FE,FE_FIN,,,,3390
FE,FE_FJI,,,,3390
FE,FE_FRA,,,,3390
FE,FE_FSM,,,,3390
FE,FE_GAB,,,,3390
FE,FE_GBR,,,,3390
FE,FE_GEO,,,,3390
FE,FE_GHA,,,,3390
FE,FE_GIN,,,,3390
FE,FE_GMB,,,,3390
FE,FE_GNB,,,,3390
FE,FE_GNQ,,,,3390
FE,FE_GRC,,,,3390
FE,FE_GRD,,,,3390
FE,FE_GTM,,,,3390
FE,FE_GUY,,,,3390
FE,FE_HKG,,,,3390
FE,FE_HND,,,,3390
FE,FE_HRV,,,,3390
FE,FE_HTI,,,,3390
FE,FE_HUN,,,,3390
FE,FE_IDN,,,,3390
FE,FE_IND,,,,3390
FE,FE_IRL,,,,3390
FE,FE_IRN,,,,3390
FE,FE_IRQ,,,,3390
FE,FE_ISL,,,,3390
FE,FE_ISR,,,,3390
FE,FE_ITA,,,,3390
FE,FE_JAM,,,,3390
FE,FE_JOR,,,,3390
FE,FE_JPN,,,,3390
FE,FE_KAZ,,,,3390
FE,FE_KEN,,,,3390
FE,FE_KGZ,,,,3390
FE,FE_KHM,,,,3390
FE,FE_KIR,,,,3390
FE,FE_KNA,,,,3390
FE,FE_KOR,,,,3390
FE,FE_KWT,,,,3390
FE,FE_LAO,,,,3390
FE,FE_LBN,,,,3390
FE,FE_LBR,,,,3390
FE,FE_LBY,,,,3390
FE,FE_LCA,,,,3390
FE,FE_LKA,,,,3390
FE,FE_LSO,,,,3390
FE,FE_LTU,,,,3390
FE,FE_LUX,,,,3390
FE,FE_LVA,,,,3390
FE,FE_MAC,,,,3390
FE,FE_MAR,,,,3390
FE,FE_MDA,,,,3390
FE,FE_MDG,,,,3390
FE,FE_MDV,,,,3390
FE,FE_MEX,,,,3390
FE,FE_MKD,,,,3390
FE,FE_MLI,,,,3390
FE,FE_MLT,,,,3390
FE,FE_MMR,,,,3390
FE,FE_MNE,,,,3390
FE,FE_MNG,,,,3390
FE,FE_MOZ,,,,3390
FE,FE_MRT,,,,3390
FE,FE_MUS,,,,3390
FE,FE_MWI,,,,3390
FE,FE_MYS,,,,3390
FE,FE_NAM,,,,3390
FE,FE_NER,,,,3390
FE,FE_NGA,,,,3390
FE,FE_NIC,,,,3390
FE,FE_NLD,,,,3390
FE,FE_NOR,,,,3390
FE,FE_NPL,,,,3390
FE,FE_NRU,,,,3390
FE,FE_NZL,,,,3390
FE,FE_OMN,,,,3390
FE,FE_PAK,,,,3390
FE,FE_PAN,,,,3390
FE,FE_PER,,,,3390
FE,FE_PHL,,,,3390
FE,FE_PLW,,,,3390
FE,FE_PNG,,,,3390
FE,FE_POL,,,,3390
FE,FE_PRT,,,,3390
FE,FE_PRY,,,,3390
FE,FE_PSE,,,,3390
FE,FE_QAT,,,,3390
FE,FE_ROU,,,,3390
FE,FE_RUS,,,,3390
FE,FE_RWA,,,,3390
FE,FE_SAU,,,,3390
FE,FE_SDN,,,,3390
FE,FE_SEN,,,,3390
FE,FE_SGP,,,,3390
FE,FE_SLB,,,,3390
FE,FE_SLE,,,,3390
FE,FE_SLV,,,,3390
FE,FE_SMR,,,,3390
FE,FE_SRB,,,,3390
FE,FE_SSD,,,,3390
FE,FE_STP,,,,3390
FE,FE_SUR,,,,3390
FE,FE_SVK,,,,3390
FE,FE_SVN,,,,3390
FE,FE_SWE,,,,3390
FE,FE_SWZ,,,,3390
FE,FE_SYC,,,,3390
FE,FE_SYR,,,,3390
FE,FE_TCD,,,,3390
FE,FE_TGO,,,,3390
FE,FE_THA,,,,3390
FE,FE_TJK,,,,3390
FE,FE_TLS,,,,3390
FE,FE_TON,,,,3390
FE,FE_TTO,,,,3390
FE,FE_TUN,,,,3390
FE,FE_TUR,,,,3390
FE,FE_TZA,,,,3390
FE,FE_UGA,,,,3390
FE,FE_UKR,,,,3390
FE,FE_URY,,,,3390
FE,FE_USA,,,,3390
FE,FE_UZB,,,,3390
FE,FE_VCT,,,,3390
FE,FE_VEN,,,,3390
FE,FE_VNM,,,,3390
FE,FE_VUT,,,,3390
FE,FE_WSM,,,,3390
FE,FE_XKX,,,,3390
FE,FE_YEM,,,,3390
FE,FE_ZAF,,,,3390
FE,FE_ZMB,,,,3390
FE,FE_ZWE,,,,3390
ElasticNetCV,gov_index_zmean,-0.6956130023089342,,,3390
ElasticNetCV,trade_exposure,0.4068439118091507,,,3390
ElasticNetCV,inflation_consumer_prices_pct,-0.47666488603018964,,,3390
ElasticNetCV,const,3.239983391218491,,,3390
