iso3,n_obs,avg_pct_predictors,gov_index_zmean_n,trade_exposure_n,inflation_consumer_prices_pct_n,fdi_inflow_usd_ln_safe_n,imports_usd_ln_safe_n,exports_usd_ln_safe_n,gdp_usd_ln_safe_n,gdp_per_capita_usd_ln_safe_n,total_reserves_usd_ln_safe_n,current_account_balance_usd_ln_safe_n
CHN,27,0.9333333333333332,25,27,25,25,25,25,25,25,25,25
MYS,27,0.9296296296296296,25,27,24,25,25,25,25,25,25,25
SWE,27,0.9259259259259259,25,27,25,23,25,25,25,25,25,25
DEU,27,0.9222222222222222,25,27,25,24,25,25,25,25,25,23
ISR,27,0.9222222222222222,25,27,25,25,25,25,25,25,25,22
DNK,27,0.9185185185185185,25,27,25,21,25,25,25,25,25,25
KOR,27,0.9185185185185185,25,27,25,25,24,24,24,24,25,25
NOR,27,0.9185185185185185,25,27,25,21,25,25,25,25,25,25
JPN,27,0.9185185185185185,25,27,25,23,24,24,25,25,25,25
SGP,27,0.9111111111111111,25,27,19,25,25,25,25,25,25,25
NLD,27,0.9111111111111111,25,27,25,19,25,25,25,25,25,25
MAC,27,0.9074074074074074,25,27,24,22,25,25,25,25,25,22
RUS,27,0.9074074074074074,25,27,22,22,25,25,25,25,24,25
CHE,27,0.9074074074074074,25,27,25,18,25,25,25,25,25,25
SAU,27,0.9037037037037038,25,27,25,21,25,25,25,25,25,21
HKG,27,0.9037037037037037,25,27,19,25,25,25,25,25,23,25
LUX,27,0.9037037037037037,25,27,25,17,25,25,25,25,25,25
SVN,27,0.888888888888889,25,27,25,24,25,25,25,25,25,14
ESP,27,0.8888888888888887,25,27,25,25,25,25,25,25,25,13
AUT,27,0.8851851851851853,25,27,25,18,25,25,25,25,25,19
OMN,27,0.8814814814814816,25,27,23,24,24,24,25,25,25,16
ECU,27,0.8814814814814815,25,27,25,24,25,25,25,25,25,12
IDN,27,0.8814814814814815,25,27,25,22,25,25,25,25,25,14
BRN,27,0.8777777777777779,25,27,14,22,25,25,25,25,25,24
ITA,27,0.8777777777777779,25,27,25,23,25,25,25,25,25,12
LTU,27,0.8777777777777777,25,27,25,24,25,25,25,25,25,11
NPL,27,0.874074074074074,25,27,24,21,25,25,25,25,24,15
FRA,27,0.874074074074074,25,27,25,25,25,25,25,25,25,9
CAN,27,0.874074074074074,25,27,25,25,25,25,25,25,25,9
BGR,27,0.874074074074074,25,27,25,25,25,25,25,25,25,9
PRT,27,0.874074074074074,25,27,25,25,25,25,25,25,25,9
AZE,27,0.874074074074074,25,27,19,23,25,25,25,25,25,17
VNM,27,0.8703703703703705,25,27,22,25,24,24,25,25,25,13
THA,27,0.8703703703703705,25,27,14,24,25,25,25,25,25,20
CZE,27,0.8703703703703702,25,27,25,25,25,25,25,25,25,8
BEL,27,0.8666666666666668,25,27,25,16,25,25,25,25,25,16
EST,27,0.8666666666666668,25,27,25,23,25,25,25,25,25,9
FIN,27,0.8666666666666666,25,27,25,19,25,25,25,25,25,13
CHL,27,0.8666666666666666,25,27,25,25,25,25,25,25,25,7
IRL,27,0.8629629629629629,25,27,25,21,25,25,25,25,25,10
KAZ,27,0.8629629629629629,25,27,25,24,24,24,25,25,25,9
EMU,25,0.86,0,25,25,23,25,25,25,25,25,17
MLT,27,0.8592592592592594,25,27,19,24,25,25,25,25,25,12
BHR,27,0.8592592592592592,25,27,14,25,24,24,25,25,25,18
IND,27,0.8592592592592592,25,27,25,25,25,25,25,25,25,5
ABW,25,0.8560000000000001,20,25,18,15,24,24,24,24,24,16
LVA,27,0.8555555555555555,25,27,25,24,25,25,25,25,25,5
KWT,27,0.8555555555555555,25,27,14,19,23,23,25,25,25,25
BGD,27,0.8555555555555555,25,27,14,25,25,25,25,25,25,15
ISL,27,0.8555555555555555,25,27,25,20,25,25,25,25,25,9
